Date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,Column1
2015-02-02 14:19,140,23.7,26.272,585.2,749.2,0.004764163,1
2015-02-02 14:19,141,23.718,26.29,578.4,760.4,0.004772661,1
2015-02-02 14:21,142,23.73,26.23,572.6666667,769.6666667,0.004765153,1
2015-02-02 14:22,143,23.7225,26.125,493.75,774.75,0.004743773,1
2015-02-02 14:23,144,23.754,26.2,488.6,779,0.004766594,1
2015-02-02 14:23,145,23.76,26.26,568.6666667,790,0.004779332,1
2015-02-02 14:25,146,23.73,26.29,536.3333333,798,0.004776136,1
2015-02-02 14:25,147,23.754,26.29,509,797,0.004783094,1
2015-02-02 14:26,148,23.754,26.35,476,803.2,0.004794094,1
2015-02-02 14:28,149,23.736,26.39,510,809,0.004796189,1
2015-02-02 14:29,150,23.745,26.445,481.5,815.25,0.004808886,1
2015-02-02 14:30,151,23.7,26.56,481.8,824,0.004816793,1
2015-02-02 14:31,152,23.7,26.6,475.25,832,0.004824104,1
2015-02-02 14:31,153,23.7,26.7,469,845.3333333,0.004842381,1
2015-02-02 14:32,154,23.7,26.774,464,852.4,0.004855906,1
2015-02-02 14:34,155,23.7,26.89,464,861,0.00487711,1
2015-02-02 14:35,156,23.7,26.9725,455,880,0.004892191,1
2015-02-02 14:36,157,23.6,26.89,454,891,0.004847594,1
2015-02-02 14:37,158,23.64,26.976,458,897.6,0.004875045,1
2015-02-02 14:38,159,23.65,27.05,464,900.5,0.004891492,1
2015-02-02 14:38,160,23.64,27.1,473,908.8,0.00489763,1
2015-02-02 14:39,161,23.6,27.16,464,918,0.004896652,1
2015-02-02 14:41,162,23.6,27.236,498.4,925.2,0.004910462,1
2015-02-02 14:42,163,23.6,27.29,530.2,929.4,0.004920275,1
2015-02-02 14:43,164,23.6,27.33,533.6,936.4,0.004927544,1
2015-02-02 14:44,165,23.6,27.34,524.25,950,0.004929361,1
2015-02-02 14:44,166,23.625,27.3925,498.6666667,961,0.004946406,1
2015-02-02 14:45,167,23.6,27.39,516.3333333,963,0.004938448,1
2015-02-02 14:47,168,23.6,27.412,501.2,958.6,0.004942446,1
2015-02-02 14:48,169,23.6,27.5,522,965.3333333,0.004958439,1
2015-02-02 14:49,170,23.6,27.525,520.5,979.25,0.004962982,1
2015-02-02 14:50,171,23.6,27.6,505.2857143,978.4285714,0.004976614,1
2015-02-02 14:51,172,23.6,27.6,488.3333333,983,0.004976614,1
2015-02-02 14:51,173,23.6,27.54,512,992.6,0.004965709,1
2015-02-02 14:53,174,23.6,27.6,511,997.2,0.004976614,1
2015-02-02 14:54,175,23.61666667,27.63333333,501.5,999.5,0.004987718,1
2015-02-02 14:55,176,23.66666667,27.7,503.6666667,1001,0.005015051,1
2015-02-02 14:55,177,23.6,27.7,483.1666667,1009.5,0.00499479,1
2015-02-02 14:57,178,23.6,27.7225,483.5,1019,0.004998879,1
2015-02-02 14:57,179,23.6,27.79,473,1021,0.005011149,1
2015-02-02 14:58,180,23.6,27.85666667,470.3333333,1024.666667,0.005023268,1
2015-02-02 15:00,181,23.6,27.80428571,480.1428571,1030.428571,0.005013746,1
2015-02-02 15:01,182,23.575,27.79,464,1026.25,0.005003545,1
2015-02-02 15:02,183,23.54,27.81,474.4,1028,0.004996538,1
2015-02-02 15:03,184,23.6,27.978,470,1034.8,0.005045325,1
2015-02-02 15:04,185,23.525,28,454,1055.5,0.005026367,1
2015-02-02 15:04,186,23.5,27.978,454,1055.25,0.00501476,1
2015-02-02 15:06,187,23.5,28,454,1050,0.005018735,1
2015-02-02 15:07,188,23.5,28,454,1051.25,0.005018735,1
2015-02-02 15:08,189,23.5,28,445,1053.6,0.005018735,1
2015-02-02 15:08,190,23.5,28,439,1055.5,0.005018735,1
2015-02-02 15:10,191,23.5,28.025,444.25,1055,0.005023252,1
2015-02-02 15:10,192,23.445,28.125,454.75,1059.5,0.005024491,1
2015-02-02 15:11,193,23.39,28.18,455.8,1060,0.005017582,1
2015-02-02 15:13,194,23.39,28.2,451.6,1073.6,0.005021172,1
2015-02-02 15:14,195,23.39,28.2,451.6,1078.6,0.005021172,1
2015-02-02 15:15,196,23.39,28.2,454.75,1081,0.005021172,1
2015-02-02 15:16,197,23.39,28.2225,454.75,1082,0.005025211,1
2015-02-02 15:16,198,23.39,28.37333333,457.5,1088.833333,0.005052286,1
2015-02-02 15:17,199,23.37,28.39,464,1090.6,0.00504913,1
2015-02-02 15:19,200,23.39,28.32333333,464,1086,0.00504331,1
2015-02-02 15:20,201,23.37333333,28.445,464,1092.5,0.005060017,1
2015-02-02 15:21,202,23.39,28.5,471.5,1103.75,0.005075025,1
2015-02-02 15:22,203,23.32333333,28.5,475.6666667,1104.5,0.005054476,1
2015-02-02 15:23,204,23.365,28.5,471.5,1103.5,0.00506731,1
2015-02-02 15:23,205,23.29,28.5,467.75,1112,0.005044229,1
2015-02-02 15:24,206,23.30666667,28.53333333,466.5,1105.666667,0.005055304,1
2015-02-02 15:26,207,23.29,28.7,464,1104,0.005079916,1
2015-02-02 15:27,208,23.29,28.7,467,1117.2,0.005079916,1
2015-02-02 15:28,209,23.29,28.675,467.75,1121.25,0.005075455,1
2015-02-02 15:29,210,23.29,28.61666667,466.5,1115.666667,0.005065046,1
2015-02-02 15:29,211,23.29,28.66,459,1120,0.005072779,1
2015-02-02 15:30,212,23.29,28.55,464,1123.75,0.005053151,1
